Word 1,Word 2,Score (mean)
love,sex,-0.693
tiger,cat,-0.693
tiger,tiger,-2.485
book,paper,-1.099
computer,keyboard,-1.386
computer,internet,-2.079
plane,car,-1.946
train,car,-1.792
telephone,communication,-2.398
television,radio,-1.099
media,radio,-1.386
drug,abuse,-1.609
bread,butter,-1.099
cucumber,potato,-1.386
doctor,nurse,-1.099
professor,doctor,-1.946
student,professor,-2.079
smart,student,-2.639
smart,stupid,-2.639
company,stock,-1.792
stock,market,-1.609
stock,phone,-1.946
stock,CD,-1.792
stock,jaguar,-1.792
stock,egg,-1.792
fertility,egg,-2.485
stock,live,-1.386
stock,life,-1.792
book,library,-1.099
bank,money,-1.946
wood,forest,-1.946
money,cash,-1.099
professor,cucumber,-2.565
king,cabbage,-2.303
king,queen,-1.099
king,rook,-1.099
bishop,rabbi,-1.609
Jerusalem,Israel,-1.946
Jerusalem,Palestinian,-2.773
holy,sex,-2.303
fuck,sex,-1.099
Maradona,football,-1.697
football,soccer,-0.693
football,basketball,-1.099
football,tennis,-1.792
tennis,racket,-2.197
Arafat,peace,-2.565
Arafat,terror,-1.792
Arafat,Jackson,-1.386
law,lawyer,-2.398
movie,star,-2.079
movie,popcorn,-2.639
movie,critic,-2.398
movie,theater,-1.946
physics,proton,-2.708
physics,chemistry,-1.099
space,chemistry,-1.792
alcohol,chemistry,-1.609
vodka,gin,-1.099
vodka,brandy,-1.099
drink,car,-2.398
drink,ear,-2.079
drink,mouth,-1.609
drink,eat,-1.099
baby,mother,-1.609
drink,mother,-1.609
car,automobile,-1.609
gem,jewel,-2.079
journey,voyage,-0.693
boy,lad,-0.693
coast,shore,-0.693
asylum,madhouse,-0.693
magician,wizard,-1.609
midday,noon,-1.697
furnace,stove,-2.303
food,fruit,-2.303
bird,cock,-0.693
bird,crane,-1.386
tool,implement,-0.693
brother,monk,-0.693
crane,implement,-1.609
lad,brother,-1.609
journey,car,-2.890
monk,oracle,-2.079
cemetery,woodland,-2.197
food,rooster,-2.773
coast,hill,-1.609
forest,graveyard,-2.197
shore,woodland,-1.609
monk,slave,-1.609
coast,forest,-1.792
lad,wizard,-1.609
chord,smile,-2.079
glass,magician,-2.079
noon,string,-2.485
rooster,voyage,-3.178
money,dollar,-1.609
money,cash,-1.099
money,currency,-0.693
money,wealth,-0.693
money,property,-1.099
money,possession,-1.386
money,bank,-1.946
money,deposit,-1.099
money,withdrawal,-2.398
money,laundering,-2.565
money,operation,-2.197
tiger,jaguar,-1.099
tiger,feline,-1.099
tiger,carnivore,-1.386
tiger,mammal,-1.792
tiger,animal,-1.386
tiger,organism,-1.099
tiger,fauna,-1.386
tiger,zoo,-2.079
psychology,psychiatry,-1.946
psychology,anxiety,-2.565
psychology,fear,-2.565
psychology,depression,-2.485
psychology,clinic,-2.639
psychology,doctor,-2.565
psychology,Freud,-2.996
psychology,mind,-1.946
psychology,health,-2.485
psychology,science,-0.693
psychology,discipline,-1.099
psychology,cognition,-1.792
planet,star,-1.099
planet,constellation,-1.386
planet,moon,-1.386
planet,sun,-1.386
planet,galaxy,-2.079
planet,space,-1.946
planet,astronomer,-1.792
precedent,example,-0.693
precedent,information,-1.099
precedent,cognition,-1.386
precedent,law,-0.693
precedent,collection,-1.099
precedent,group,-1.386
precedent,antecedent,-1.792
cup,coffee,-1.792
cup,tableware,-1.099
cup,article,-1.609
cup,artifact,-1.386
cup,object,-1.609
cup,entity,-1.792
cup,drink,-1.609
cup,food,-1.792
cup,substance,-1.946
cup,liquid,-1.792
jaguar,cat,-0.693
jaguar,car,-2.833
