Word 1,Word 2,Score (mean)
king,cabbage,5.649
professor,cucumber,5.649
chord,smile,5.649
noon,string,5.649
rooster,voyage,5.649
stock,jaguar,5.649
stock,life,5.649
monk,slave,5.649
lad,wizard,5.649
stock,CD,5.649
drink,ear,5.649
stock,phone,5.649
holy,sex,5.649
precedent,group,5.649
stock,egg,5.649
forest,graveyard,5.649
cup,substance,5.649
cemetery,woodland,5.649
glass,magician,5.649
cup,entity,5.649
cup,article,5.649
Arafat,Jackson,5.649
precedent,collection,5.649
drink,mother,5.649
crane,implement,5.649
precedent,cognition,5.649
cup,artifact,5.649
drink,car,5.649
shore,woodland,5.649
coast,forest,5.649
money,operation,5.649
cup,object,5.649
stock,live,5.649
precedent,information,5.649
coast,hill,5.649
food,rooster,5.649
lad,brother,5.649
smart,student,5.649
tiger,organism,5.649
space,chemistry,5.649
monk,oracle,5.649
cup,food,5.649
alcohol,chemistry,5.649
psychology,discipline,5.649
tiger,fauna,5.649
money,laundering,5.649
plane,car,5.649
smart,stupid,5.649
journey,car,5.649
precedent,example,5.649
tiger,zoo,5.649
cup,liquid,5.649
cucumber,potato,5.649
drink,mouth,5.649
precedent,antecedent,5.649
bread,butter,5.649
movie,popcorn,5.649
brother,monk,5.649
train,car,5.649
psychology,doctor,5.649
tool,implement,5.649
psychology,clinic,5.649
cup,coffee,5.649
professor,doctor,5.649
football,tennis,5.649
precedent,law,5.649
fertility,egg,5.649
bishop,rabbi,5.649
psychology,science,5.649
Arafat,peace,5.649
movie,critic,5.649
love,sex,5.649
television,radio,5.649
student,professor,5.649
football,basketball,5.649
drug,abuse,5.649
tiger,mammal,5.649
psychology,fear,5.649
cup,tableware,5.649
drink,eat,5.649
money,withdrawal,5.649
doctor,nurse,5.649
tiger,animal,5.649
psychology,anxiety,5.649
company,stock,5.649
tiger,carnivore,5.649
bird,cock,5.649
psychology,health,5.649
cup,drink,5.649
jaguar,car,5.649
money,possession,5.649
tiger,cat,5.649
physics,chemistry,5.649
movie,star,5.649
bird,crane,5.649
media,radio,5.649
psychology,depression,5.649
jaguar,cat,5.649
book,paper,5.649
book,library,5.649
psychology,cognition,5.649
telephone,communication,5.649
food,fruit,5.649
tennis,racket,5.649
money,property,5.649
computer,internet,5.649
computer,keyboard,5.649
Jerusalem,Palestinian,5.649
Arafat,terror,5.649
psychology,mind,5.649
money,deposit,5.649
baby,mother,5.649
movie,theater,5.649
planet,space,5.649
planet,astronomer,5.649
tiger,jaguar,5.649
tiger,feline,5.649
planet,sun,5.649
planet,constellation,5.649
stock,market,5.649
psychology,psychiatry,5.649
planet,moon,5.649
planet,galaxy,5.649
bank,money,5.649
physics,proton,5.649
vodka,brandy,5.649
psychology,Freud,5.649
money,wealth,5.649
law,lawyer,5.649
money,dollar,5.649
planet,star,5.649
Jerusalem,Israel,5.649
vodka,gin,5.649
money,bank,5.649
Maradona,football,5.649
furnace,stove,5.649
boy,lad,5.649
asylum,madhouse,5.649
football,soccer,5.649
money,currency,5.649
money,cash,5.649
coast,shore,5.649
money,cash,5.649
journey,voyage,5.649
fuck,sex,5.649
king,rook,6.201
wood,forest,8.964
king,queen,8.964
car,automobile,8.964
gem,jewel,8.964
magician,wizard,8.964
midday,noon,8.964
tiger,tiger,8.964
