Word 1,Word 2,Score (mean)
sugar,approach,5.939
delay,racism,5.939
production,hike,5.939
energy,secretary,5.939
month,hotel,5.939
possibility,girl,5.939
Wednesday,news,5.939
direction,combination,5.939
reason,hypertension,5.939
sign,recess,5.939
problem,airport,5.939
volunteer,motto,5.939
listing,proximity,5.939
opera,industry,5.939
line,insurance,5.939
announcement,effort,5.939
media,gain,5.939
Mars,water,5.939
peace,insurance,5.939
viewer,serial,5.939
president,medal,5.939
prejudice,recognition,5.939
century,nation,5.939
practice,institution,5.939
governor,interview,5.939
delay,news,5.939
morality,importance,5.939
announcement,production,5.939
five,month,5.939
school,center,5.939
experience,music,5.939
seven,series,5.939
report,gain,5.939
music,project,5.939
atmosphere,landscape,5.939
minority,peace,5.939
peace,atmosphere,5.939
morality,marriage,5.939
population,development,5.939
architecture,century,5.939
situation,isolation,5.939
media,trading,5.939
profit,warning,5.939
chance,credibility,5.939
theater,history,5.939
day,summer,5.939
development,issue,5.939
start,year,5.939
focus,life,5.939
consumer,confidence,5.939
attempt,peace,5.939
deployment,departure,5.939
benchmark,index,5.939
observation,architecture,5.939
computer,news,5.939
board,recommendation,5.939
start,match,5.939
life,term,5.939
image,surface,5.939
investigation,effort,5.939
hospital,infrastructure,5.939
ministry,culture,5.939
peace,plan,5.939
word,similarity,5.939
consumer,energy,5.939
situation,conclusion,5.939
car,flight,5.939
street,children,5.939
journal,association,5.939
doctor,personnel,5.939
travel,activity,5.939
death,inmate,5.939
secretary,senate,5.939
energy,laboratory,5.939
impartiality,interest,5.939
doctor,liability,5.939
death,row,5.939
man,governor,5.939
territory,kilometer,5.939
credit,information,5.939
size,prominence,5.939
exhibit,memorabilia,5.939
territory,surface,5.939
arrangement,accommodation,5.939
change,attitude,5.939
disability,death,5.939
glass,metal,5.939
Mars,scientist,5.939
decoration,valor,5.939
OPEC,country,5.939
summer,nature,5.939
lobster,wine,5.939
planet,people,5.939
deployment,withdrawal,5.939
reason,criterion,5.939
equipment,maker,5.939
energy,crisis,5.939
grocery,money,5.939
life,lesson,5.939
baseball,season,5.939
game,round,5.939
registration,arrangement,5.939
arrival,hotel,5.939
announcement,warning,5.939
shower,flood,5.939
weapon,secret,5.939
dollar,loss,5.939
game,series,5.939
lover,quarrel,5.939
preservation,world,5.939
skin,eye,5.939
food,preparation,5.939
nature,man,5.939
production,crew,5.939
family,planning,5.939
disaster,area,5.939
record,number,5.939
shower,thunderstorm,5.939
discovery,space,5.939
oil,stock,5.939
video,archive,5.939
governor,office,5.939
listing,category,5.939
gender,equality,5.939
competition,price,5.939
street,place,5.939
victim,emergency,5.939
luxury,car,5.939
dividend,calculation,5.939
Japanese,American,5.939
space,world,5.939
water,seepage,5.939
government,crisis,5.939
minister,party,5.939
lawyer,evidence,5.939
bed,closet,5.939
problem,challenge,5.939
computer,laboratory,5.939
concert,virtuoso,5.939
street,block,5.939
opera,performance,5.939
FBI,fingerprint,5.939
game,defeat,5.939
stroke,hospital,5.939
liability,insurance,5.939
game,victory,5.939
phone,equipment,5.939
investor,earning,5.939
summer,drought,5.939
museum,theater,5.939
country,citizen,5.939
hundred,percent,5.939
dollar,profit,5.939
fighting,defeating,5.939
Mexico,Brazil,5.939
marathon,sprint,5.939
seafood,sea,5.939
currency,market,5.939
canyon,landscape,5.939
day,dawn,5.939
announcement,news,5.939
century,year,5.939
rock,jazz,5.939
boxing,round,5.939
dividend,payment,5.939
profit,loss,5.939
game,team,5.939
admission,ticket,5.939
television,film,5.939
dollar,yen,5.939
lobster,food,5.939
aluminum,metal,5.939
life,death,5.939
liquid,water,5.939
treatment,recovery,5.939
soap,opera,5.939
closet,clothes,5.939
hotel,reservation,5.939
credit,card,5.939
war,troops,5.939
Harvard,Yale,5.939
news,report,5.939
man,woman,5.939
FBI,investigation,5.939
network,hardware,5.939
nature,environment,5.939
seafood,food,5.939
weather,forecast,5.939
championship,tournament,5.939
computer,software,5.939
murder,manslaughter,5.939
OPEC,oil,5.939
mile,kilometer,5.939
seafood,lobster,5.939
environment,ecology,5.939
street,avenue,5.939
type,kind,5.939
cell,phone,6.428
calculation,computation,8.872
dollar,buck,8.872
