Word 1,Word 2,Score (mean)
love,sex,0.544
tiger,cat,0.400
tiger,tiger,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000
book,paper,0.184
computer,keyboard,0.068
computer,internet,0.082
plane,car,0.203
train,car,0.191
telephone,communication,0.090
television,radio,0.499
media,radio,0.271
drug,abuse,0.067
bread,butter,0.182
cucumber,potato,0.073
doctor,nurse,0.361
professor,doctor,0.196
student,professor,0.078
smart,student,0.044
smart,stupid,0.036
company,stock,0.145
stock,market,0.119
stock,phone,0.099
stock,CD,0.064
stock,jaguar,0.098
stock,egg,0.116
fertility,egg,0.038
stock,live,0.086
stock,life,0.090
book,library,0.103
bank,money,0.102
wood,forest,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000
money,cash,0.299
professor,cucumber,0.024
king,cabbage,0.064
king,queen,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000
king,rook,166666666666666675417460042534070041450744763518026525819309019251967076331484699297728562513407977340617407305480646362823753872560071762607465364131117830474731200154429300622971705632464681676561492205828466657513519839827940146679108790463357082429876464803342807139685944912032731144243233423360.000
bishop,rabbi,0.103
Jerusalem,Israel,0.044
Jerusalem,Palestinian,0.016
holy,sex,0.041
fuck,sex,0.198
Maradona,football,47149122807017546335202512032664551199881742311020661909409788341017001856933171511857422289977256747674661277208340747377772477105809774948164543800250438884298957938424078465709100935499877053237790558227789909691324691530272541494747881512660227266346631490419346756621681784325048942121441034240.000
football,soccer,0.218
football,basketball,0.192
football,tennis,0.177
tennis,racket,0.046
Arafat,peace,0.014
Arafat,terror,0.019
Arafat,Jackson,0.031
law,lawyer,0.061
movie,star,0.075
movie,popcorn,0.009
movie,critic,0.068
movie,theater,0.087
physics,proton,0.031
physics,chemistry,0.228
space,chemistry,0.061
alcohol,chemistry,0.078
vodka,gin,0.055
vodka,brandy,0.051
drink,car,0.077
drink,ear,0.082
drink,mouth,0.093
drink,eat,0.204
baby,mother,0.179
drink,mother,0.145
car,automobile,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000
gem,jewel,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000
journey,voyage,0.291
boy,lad,0.392
coast,shore,1.854
asylum,madhouse,2.044
magician,wizard,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000
midday,noon,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000
furnace,stove,0.051
food,fruit,0.089
bird,cock,0.232
bird,crane,0.126
tool,implement,1.331
brother,monk,17.805
crane,implement,0.065
lad,brother,0.076
journey,car,0.068
monk,oracle,0.063
cemetery,woodland,0.044
food,rooster,0.063
coast,hill,0.133
forest,graveyard,0.045
shore,woodland,0.059
monk,slave,0.072
coast,forest,0.058
lad,wizard,0.074
chord,smile,0.062
glass,magician,0.060
noon,string,0.059
rooster,voyage,0.044
money,dollar,0.213
money,cash,0.299
money,currency,0.519
money,wealth,21.971
money,property,0.591
money,possession,0.233
money,bank,0.102
money,deposit,0.233
money,withdrawal,0.062
money,laundering,0.035
money,operation,0.090
tiger,jaguar,0.216
tiger,feline,0.257
tiger,carnivore,0.207
tiger,mammal,0.138
tiger,animal,0.126
tiger,organism,0.088
tiger,fauna,0.126
tiger,zoo,0.032
psychology,psychiatry,0.104
psychology,anxiety,0.061
psychology,fear,0.061
psychology,depression,0.060
psychology,clinic,0.032
psychology,doctor,0.061
psychology,Freud,0.038
psychology,mind,0.090
psychology,health,0.055
psychology,science,0.520
psychology,discipline,0.245
psychology,cognition,0.140
planet,star,0.502
planet,constellation,0.129
planet,moon,0.277
planet,sun,0.330
planet,galaxy,0.038
planet,space,0.090
planet,astronomer,0.060
precedent,example,0.314
precedent,information,0.161
precedent,cognition,0.116
precedent,law,0.319
precedent,collection,0.155
precedent,group,0.116
precedent,antecedent,0.057
cup,coffee,0.116
cup,tableware,0.488
cup,article,0.444
cup,artifact,0.129
cup,object,0.113
cup,entity,0.097
cup,drink,0.251
cup,food,0.176
cup,substance,0.158
cup,liquid,0.225
jaguar,cat,0.631
jaguar,car,0.051
