Word 1,Word 2,Score (mean)
energy,secretary,0.786
secretary,senate,0.053
energy,laboratory,0.786
computer,laboratory,1.295
weapon,secret,0.636
FBI,fingerprint,0.636
FBI,investigation,0.636
investigation,effort,4.916
Mars,water,2.965
Mars,scientist,1.516
news,report,7.699
canyon,landscape,1.295
image,surface,3.377
discovery,space,0.636
water,seepage,0.636
sign,recess,4.618
Wednesday,news,0.636
mile,kilometer,6.212
computer,news,0.053
territory,surface,3.377
atmosphere,landscape,3.122
president,medal,0.636
war,troops,0.636
record,number,6.011
skin,eye,4.412
Japanese,American,6.710
theater,history,1.644
volunteer,motto,0.053
prejudice,recognition,6.129
decoration,valor,0.636
century,year,3.825
century,nation,0.636
delay,racism,2.379
delay,news,2.068
minister,party,2.380
peace,plan,0.636
minority,peace,3.142
attempt,peace,0.636
government,crisis,2.068
deployment,departure,2.379
deployment,withdrawal,9.034
energy,crisis,4.263
announcement,news,3.869
announcement,effort,0.636
stroke,hospital,1.516
disability,death,3.142
victim,emergency,1.516
treatment,recovery,2.379
journal,association,0.836
doctor,personnel,0.636
doctor,liability,0.636
liability,insurance,4.263
school,center,5.844
reason,hypertension,4.263
reason,criterion,2.742
hundred,percent,0.636
Harvard,Yale,11.449
hospital,infrastructure,0.636
death,row,2.414
death,inmate,0.786
lawyer,evidence,0.053
life,death,7.568
life,term,6.855
word,similarity,3.377
board,recommendation,0.636
governor,interview,0.053
OPEC,country,4.024
peace,atmosphere,4.263
peace,insurance,8.508
territory,kilometer,0.636
travel,activity,2.379
competition,price,2.965
consumer,confidence,0.053
consumer,energy,0.786
problem,airport,0.053
car,flight,2.393
credit,card,4.119
credit,information,4.943
hotel,reservation,1.295
grocery,money,0.053
registration,arrangement,3.204
arrangement,accommodation,4.571
month,hotel,0.053
type,kind,6.295
arrival,hotel,1.516
bed,closet,6.612
closet,clothes,2.393
situation,conclusion,2.379
situation,isolation,3.142
impartiality,interest,1.644
direction,combination,3.204
street,place,3.142
street,avenue,8.580
street,block,2.909
street,children,1.516
listing,proximity,1.644
listing,category,1.644
cell,phone,8.915
production,hike,2.379
benchmark,index,6.088
media,trading,2.379
media,gain,2.965
dividend,payment,6.791
dividend,calculation,0.636
calculation,computation,8.316
currency,market,0.636
OPEC,oil,0.636
oil,stock,5.187
announcement,production,2.720
announcement,warning,3.869
profit,warning,0.636
profit,loss,6.041
dollar,yen,6.908
dollar,buck,9.704
dollar,profit,0.636
dollar,loss,0.636
computer,software,0.053
network,hardware,3.335
phone,equipment,5.355
equipment,maker,1.516
luxury,car,0.053
five,month,2.763
report,gain,0.636
investor,earning,3.123
liquid,water,8.270
baseball,season,0.636
game,victory,2.068
game,team,0.636
marathon,sprint,2.379
game,series,6.786
game,defeat,2.068
seven,series,2.965
seafood,sea,0.786
seafood,food,6.218
seafood,lobster,9.807
lobster,food,6.218
lobster,wine,3.329
food,preparation,3.329
video,archive,2.393
start,year,2.763
start,match,5.519
game,round,7.125
boxing,round,7.348
championship,tournament,6.786
fighting,defeating,3.936
line,insurance,5.118
day,summer,3.825
summer,drought,3.825
summer,nature,0.636
day,dawn,3.825
nature,environment,2.332
environment,ecology,6.856
nature,man,2.216
man,woman,4.902
man,governor,3.335
murder,manslaughter,8.587
soap,opera,0.836
opera,performance,0.836
life,lesson,2.720
focus,life,3.142
production,crew,0.636
television,film,6.943
lover,quarrel,1.516
viewer,serial,2.393
possibility,girl,0.053
population,development,5.722
morality,importance,3.975
morality,marriage,2.332
Mexico,Brazil,6.251
gender,equality,2.332
change,attitude,2.965
family,planning,0.636
opera,industry,0.636
sugar,approach,0.836
practice,institution,7.720
ministry,culture,3.457
problem,challenge,3.869
size,prominence,3.142
country,citizen,1.295
planet,people,0.053
development,issue,4.150
experience,music,2.742
music,project,3.204
glass,metal,3.329
aluminum,metal,5.391
chance,credibility,2.332
exhibit,memorabilia,2.720
concert,virtuoso,0.053
rock,jazz,8.818
museum,theater,2.393
observation,architecture,3.204
space,world,2.332
preservation,world,4.263
admission,ticket,3.869
shower,thunderstorm,6.658
shower,flood,5.014
weather,forecast,0.053
disaster,area,3.142
governor,office,2.393
architecture,century,0.636
