Word 1,Word 2,Score (mean)
energy,secretary,0.097
secretary,senate,0.005
energy,laboratory,0.080
computer,laboratory,0.117
weapon,secret,0.068
FBI,fingerprint,0.023
FBI,investigation,0.029
investigation,effort,0.705
Mars,water,0.336
Mars,scientist,0.171
news,report,0.978
canyon,landscape,0.096
image,surface,0.374
discovery,space,0.093
water,seepage,0.051
sign,recess,0.438
Wednesday,news,0.072
mile,kilometer,0.490
computer,news,0.006
territory,surface,0.556
atmosphere,landscape,0.254
president,medal,0.061
war,troops,0.075
record,number,0.777
skin,eye,0.504
Japanese,American,0.705
theater,history,0.175
volunteer,motto,0.005
prejudice,recognition,0.437
decoration,valor,0.058
century,year,0.477
century,nation,0.084
delay,racism,0.139
delay,news,0.225
minister,party,0.268
peace,plan,0.081
minority,peace,0.287
attempt,peace,0.082
government,crisis,0.227
deployment,departure,0.109
deployment,withdrawal,0.358
energy,crisis,0.376
announcement,news,0.477
announcement,effort,0.087
stroke,hospital,0.125
disability,death,0.338
victim,emergency,0.133
treatment,recovery,0.281
journal,association,0.085
doctor,personnel,0.078
doctor,liability,0.068
liability,insurance,0.281
school,center,0.635
reason,hypertension,0.195
reason,criterion,0.310
hundred,percent,0.059
Harvard,Yale,0.550
hospital,infrastructure,0.049
death,row,0.270
death,inmate,0.079
lawyer,evidence,0.007
life,death,0.883
life,term,0.817
word,similarity,0.256
board,recommendation,0.069
governor,interview,0.005
OPEC,country,0.126
peace,atmosphere,0.486
peace,insurance,0.694
territory,kilometer,0.044
travel,activity,0.498
competition,price,0.304
consumer,confidence,0.006
consumer,energy,0.110
problem,airport,0.000
car,flight,0.264
credit,card,0.408
credit,information,0.545
hotel,reservation,0.142
grocery,money,0.005
registration,arrangement,0.282
arrangement,accommodation,0.401
month,hotel,0.007
type,kind,0.891
arrival,hotel,0.155
bed,closet,0.734
closet,clothes,0.254
situation,conclusion,0.344
situation,isolation,0.396
impartiality,interest,0.105
direction,combination,0.318
street,place,0.347
street,avenue,0.705
street,block,0.315
street,children,0.194
listing,proximity,0.070
listing,category,0.175
cell,phone,0.911
production,hike,0.237
benchmark,index,0.261
media,trading,0.200
media,gain,0.365
dividend,payment,0.594
dividend,calculation,0.054
calculation,computation,1.000
currency,market,0.084
OPEC,oil,0.017
oil,stock,0.504
announcement,production,0.272
announcement,warning,0.434
profit,warning,0.077
profit,loss,0.740
dollar,yen,0.431
dollar,buck,1.000
dollar,profit,0.075
dollar,loss,0.073
computer,software,0.006
network,hardware,0.283
phone,equipment,0.753
equipment,maker,0.228
luxury,car,0.005
five,month,0.373
report,gain,0.090
investor,earning,0.301
liquid,water,0.992
baseball,season,0.075
game,victory,0.274
game,team,0.088
marathon,sprint,0.170
game,series,0.641
game,defeat,0.244
seven,series,0.234
seafood,sea,0.082
seafood,food,0.777
seafood,lobster,0.409
lobster,food,0.314
lobster,wine,0.152
food,preparation,0.449
video,archive,0.142
start,year,0.390
start,match,0.606
game,round,0.721
boxing,round,0.514
championship,tournament,0.498
fighting,defeating,0.440
line,insurance,0.531
day,summer,0.477
summer,drought,0.354
summer,nature,0.078
day,dawn,0.359
nature,environment,0.331
environment,ecology,0.121
nature,man,0.289
man,woman,0.778
man,governor,0.373
murder,manslaughter,0.393
soap,opera,0.066
opera,performance,0.074
life,lesson,0.304
focus,life,0.347
production,crew,0.073
television,film,0.711
lover,quarrel,0.136
viewer,serial,0.194
possibility,girl,0.008
population,development,0.442
morality,importance,0.579
morality,marriage,0.305
Mexico,Brazil,0.350
gender,equality,0.230
change,attitude,0.335
family,planning,0.086
opera,industry,0.056
sugar,approach,0.093
practice,institution,0.835
ministry,culture,0.213
problem,challenge,0.408
size,prominence,0.300
country,citizen,0.180
planet,people,0.008
development,issue,0.568
experience,music,0.334
music,project,0.423
glass,metal,0.453
aluminum,metal,0.559
chance,credibility,0.279
exhibit,memorabilia,0.185
concert,virtuoso,0.000
rock,jazz,0.661
museum,theater,0.247
observation,architecture,0.252
space,world,0.323
preservation,world,0.381
admission,ticket,0.327
shower,thunderstorm,0.171
shower,flood,0.453
weather,forecast,0.005
disaster,area,0.348
governor,office,0.235
architecture,century,0.054
