Word 1,Word 2,Score (mean)
love,sex,0.754
tiger,cat,0.749
tiger,tiger,1.000
book,paper,0.673
computer,keyboard,0.333
computer,internet,0.353
plane,car,0.710
train,car,0.694
telephone,communication,0.010
television,radio,0.803
media,radio,0.725
drug,abuse,0.007
bread,butter,0.720
cucumber,potato,0.363
doctor,nurse,0.828
professor,doctor,0.703
student,professor,0.261
smart,student,0.006
smart,stupid,0.004
company,stock,0.498
stock,market,0.446
stock,phone,0.410
stock,CD,0.275
stock,jaguar,0.452
stock,egg,0.552
fertility,egg,0.005
stock,live,0.275
stock,life,0.357
book,library,0.475
bank,money,0.419
wood,forest,1.000
money,cash,0.788
professor,cucumber,0.076
king,cabbage,0.264
king,queen,1.000
king,rook,0.818
bishop,rabbi,0.452
Jerusalem,Israel,0.251
Jerusalem,Palestinian,0.038
holy,sex,0.060
fuck,sex,0.620
Maradona,football,0.444
football,soccer,0.451
football,basketball,0.767
football,tennis,0.653
tennis,racket,0.218
Arafat,peace,0.000
Arafat,terror,0.073
Arafat,Jackson,0.186
law,lawyer,0.006
movie,star,0.190
movie,popcorn,0.023
movie,critic,0.172
movie,theater,0.295
physics,proton,0.044
physics,chemistry,0.692
space,chemistry,0.093
alcohol,chemistry,0.324
vodka,gin,0.251
vodka,brandy,0.246
drink,car,0.108
drink,ear,0.368
drink,mouth,0.404
drink,eat,0.661
baby,mother,0.687
drink,mother,0.511
car,automobile,1.000
gem,jewel,1.000
journey,voyage,0.802
boy,lad,0.856
coast,shore,0.965
asylum,madhouse,0.895
magician,wizard,1.000
midday,noon,1.000
furnace,stove,0.188
food,fruit,0.159
bird,cock,0.774
bird,crane,0.391
tool,implement,0.938
brother,monk,0.860
crane,implement,0.275
lad,brother,0.254
journey,car,0.007
monk,oracle,0.220
cemetery,woodland,0.102
food,rooster,0.090
coast,hill,0.600
forest,graveyard,0.102
shore,woodland,0.132
monk,slave,0.245
coast,forest,0.127
lad,wizard,0.249
chord,smile,0.215
glass,magician,0.202
noon,string,0.070
rooster,voyage,0.005
money,dollar,0.716
money,cash,0.788
money,currency,0.865
money,wealth,0.995
money,property,0.890
money,possession,0.671
money,bank,0.419
money,deposit,0.568
money,withdrawal,0.073
money,laundering,0.040
money,operation,0.103
tiger,jaguar,0.680
tiger,feline,0.695
tiger,carnivore,0.654
tiger,mammal,0.539
tiger,animal,0.499
tiger,organism,0.257
tiger,fauna,0.499
tiger,zoo,0.085
psychology,psychiatry,0.531
psychology,anxiety,0.072
psychology,fear,0.072
psychology,depression,0.138
psychology,clinic,0.025
psychology,doctor,0.166
psychology,Freud,0.000
psychology,mind,0.378
psychology,health,0.065
psychology,science,0.860
psychology,discipline,0.739
psychology,cognition,0.434
planet,star,0.872
planet,constellation,0.482
planet,moon,0.786
planet,sun,0.816
planet,galaxy,0.099
planet,space,0.189
planet,astronomer,0.195
precedent,example,0.832
precedent,information,0.621
precedent,cognition,0.388
precedent,law,0.839
precedent,collection,0.606
precedent,group,0.402
precedent,antecedent,0.236
cup,coffee,0.489
cup,tableware,0.860
cup,article,0.851
cup,artifact,0.381
cup,object,0.253
cup,entity,0.010
cup,drink,0.755
cup,food,0.579
cup,substance,0.534
cup,liquid,0.657
jaguar,cat,0.748
jaguar,car,0.130
